,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
62,Cornell,23,12,11,.522,-1.52,-2.99,,5,5,,5,3,,7,8,,2078,1935,,73.2,122.0,.299,.519,.625,51.6,68.6,8.5,7.4,.603,14.4,31.4,.221
63,Creighton,26,13,13,.500,10.71,9.82,,7,8,,10,4,,2,7,,1977,1954,,68.1,111.2,.268,.490,.570,49.5,58.4,8.4,6.2,.542,14.6,28.8,.199
64,Dartmouth,23,10,13,.435,-6.46,-2.51,,4,6,,5,7,,5,6,,1761,1735,,69.7,109.2,.356,.490,.574,50.6,56.0,6.6,10.0,.540,16.0,27.2,.261
65,Davidson,25,15,10,.600,5.40,3.83,,6,6,,9,6,,5,3,,1848,1717,,65.0,112.7,.317,.437,.571,49.5,53.0,10.9,12.3,.550,14.0,29.9,.216
66,Dayton,25,16,9,.640,6.96,2.52,,7,5,,12,2,,3,5,,1896,1785,,69.2,108.0,.474,.408,.566,48.8,57.6,12.9,12.8,.514,15.5,27.6,.359
67,Delaware,25,9,16,.360,-7.17,-2.38,,5,9,,4,8,,4,7,,1672,1796,,64.2,102.6,.284,.451,.562,47.9,53.2,8.2,9.1,.528,16.9,21.9,.218
68,Delaware State,25,6,19,.240,-22.53,-8.86,,1,9,,5,5,,1,13,,1524,1783,,67.3,90.1,.324,.288,.476,46.7,49.2,12.0,5.3,.438,17.1,26.4,.223
69,Denver,28,13,15,.464,-4.88,-1.20,,6,7,,7,5,,6,10,,2331,2315,,69.7,119.5,.331,.383,.591,50.3,39.1,6.5,5.2,.556,12.5,31.5,.256
70,DePaul,25,13,12,.520,6.90,5.42,,5,9,,11,4,,1,7,,1793,1756,,68.0,105.4,.366,.394,.542,49.5,61.8,10.0,9.6,.509,15.5,30.0,.255
71,Detroit Mercy,25,12,13,.480,-7.31,-2.92,,9,7,,6,5,,6,8,,1932,1964,,70.7,109.3,.336,.317,.536,52.5,47.9,8.3,9.4,.494,14.0,35.0,.255
